Daerah,Nama Kuliner,"Bahan Utama (mis: beras,labu)",Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: sayur kangkung, daun singkong)","Bentuk dan tekstur (mis: kuah kental, lembek)",Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ? [Nasi jajan],Level Pedas kuliner lokal di bawah ini [Nasi jajan],Level Gurih kuliner lokal di bawah ini [Nasi jajan],Level Manis kuliner lokal di bawah ini [Nasi jajan],Level Asin kuliner lokal di bawah ini [Nasi jajan],Level Asam kuliner lokal di bawah ini [Nasi jajan],Bagaimana aroma kuliner tersebut? [Nasi jajan],Nutrisi dari makanan [Nasi jajan],Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan) [Nasi jajan],Penggunaan bahan alami [Nasi jajan],Kesegaran makanan [Nasi jajan],Kebersihan makanan [Nasi jajan],Status halal makanan [Nasi jajan]
Pamekasan,Nasi Jajan,beras dan dendeng sapi,-,"telur rebus,daging sapi, serundeng",daging kriuk,menggunakan daun pisang,aroma bumbu yg khas,rasa gurih,Asin dengan dominan bumbu rempah tertentu,2,3,2,3,1,Agak berbau khas tertentu,3,3,3,3,4,Halal
,,daging sapi,-,"serundeng, telur, irisan kentang",kuah santan yg kental,di bungkus daun pisang,aroma kuah yang khas,rasa gurih dan asin,Gurih dengan dominan bumbuu rempah tertentu,2,4,2,3,1,Aroma rempah yang kuat,3,3,4,4,4,Halal
,,"Daging sapi, beras",-,"irisan kentang goreng, potongan daging sapi dan telur rebus",teksturnya dendeng sapi yang kriuk dan kuah yg kental,penyajian menggunakan daun pisang,aroma bumbu yang sangat khas ,rasanya gurih asin dan sedikit manis,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Agak berbau khas tertentu,5,3,5,5,5,Halal
,,daging sapi,-,"telur, daging sapi dan serundeng",kuah yang kental dan daging yg kriuk,di bungkus daun pisang,aroma bumbu yang khas,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,3,3,0,Agak berbau khas tertentu,4,5,5,5,5,Halal
,,nasi punel dan aneka lauk,-,"dendeng krispi,telur,kentang goreng iris",daging sapi yg krispi ,menggunakan daun pisang sebagai bungkusan,aroma kuah yg gurih,gurih dengan aroma rempah tertentu,Gurih dengan dominan bumbuu rempah tertentu,4,5,4,4,2,Aroma rempah yang kuat,4,4,5,5,5,Halal
Ambon,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel",nasi pulen,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Pedas dengan dominan bumbu rempah tertentu,4,2,3,1,1,Aroma rempah yang sedang,2,2,1,4,5,Halal
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,tidak ada,,,Pedas dengan rasa cabai kuat,5,3,4,2,2,Aroma rempah yang sedang,2,2,1,5,5,Halal
,Sambal colo-colo,lemon cina,tidak ada,"daun kemang, bawang merah, cabai rawit, tomat",irisan bahan lengkap,tidak ada,aroma segar asam,asam pedas,Pedas dengan rasa cabai kuat,5,2,3,3,4,Agak berbau khas tertentu,2,2,1,5,5,Halal
,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel",nasi pulen,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Gurih dengan dominan bumbuu rempah tertentu,1,2,2,1,0,Agak berbau khas tertentu,2,1,5,3,1,Tidak tahu
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,tidak ada,aroma ikan segar,gurih,Gurih penyedap,0,2,1,0,0,Agak berbau khas tertentu,3,2,5,3,1,Tidak tahu
,Sambal colo-colo,,tidak ada,"daun kemang, bawang merah, cabai rawit, tomat",irisan bahan lengkap,tidak ada,aroma segar asam,asam pedas,Pedas dengan dominan bumbu rempah tertentu,3,2,1,1,1,Agak berbau khas tertentu,1,2,5,3,2,Tidak tahu
,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel",nasi pulen,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Pedas dengan dominan bumbu rempah tertentu,1,3,1,0,0,Aroma rempah yang sedang,2,3,2,2,3,Halal
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,tidak ada,aroma ikan segar,gurih,Pedas dengan dominan bumbu rempah tertentu,2,3,2,1,2,Aroma rempah yang sedang,3,3,2,4,3,Ragu-ragu
,Sambal colo-colo,lemon cina,tidak ada,"daun kemang, bawang merah, cabai rawit, tomat",irisan bahan lengkap,tidak ada,aroma segar asam,asam pedas,Asin dengan dominan bumbu rempah tertentu,3,3,2,1,2,Aroma rempah yang kuat,2,3,2,3,3,Halal
,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel",nasi pulen,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Pedas dengan dominan bumbu rempah tertentu,1,1,1,1,1,Aroma rempah yang sedang,1,1,2,1,1,Halal
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,tidak ada,aroma ikan segar,gurih,Pedas dengan dominan bumbu rempah tertentu,1,1,1,1,1,Aroma rempah yang sedang,1,1,2,1,1,Halal
,Sambal colo-colo,lemon cina,tidak ada,"daun kemang, bawang merah, cabai rawit, tomat",irisan bahan lengkap,tidak ada,aroma segar asam,asam pedas,Pedas dengan dominan bumbu rempah tertentu,1,1,1,1,1,Aroma rempah yang sedang,1,1,2,1,1,Halal
,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel",nasi pulen,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Pedas dengan dominan bumbu rempah tertentu,3,2,1,2,2,Agak berbau khas tertentu,3,3,5,4,4,Halal
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,tidak ada,aroma ikan segar,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,4,2,2,2,Agak berbau khas tertentu,5,4,5,4,4,Halal
,Sambal colo-colo,lemon cina,tidak ada,"daun kemang, bawang merah, cabai rawit, tomat",irisan bahan lengkap,tidak ada,aroma segar asam,asam pedas,Asin dengan rasa garam yang kuat,4,2,1,3,3,Agak berbau khas tertentu,2,5,5,4,4,Halal
Makassar,Coto Makassar,Daging sapi,Tidak ada,"Daun bawang, bawang goreng",Kuah yang kental dan daging sapi lembut yang dipotong kecil,Menggunakan mangkuk yang kecil,Aroma rempah dari kuah coto yang khas,Kuah coto kental dan gurih dan daging sapi yang lembut dan disajikan bersama ketupat,Gurih dengan dominan bumbuu rempah tertentu,1,5,3,3,0,Aroma rempah yang kuat,3,5,5,5,5,Halal
,,Daging  sapai,Tidak ada,Daun bawang dan bawang goreng,"Bentuk daging dipotong kotak, teksturnya kenyal",Menggunakan mangkuk,Aroma khas rempah,"Gurih, manis, asam",Gurih dengan dominan bumbuu rempah tertentu,1,4,2,2,2,Aroma rempah yang kuat,4,3,5,5,4,Halal
,,Daging ,Tidak ada,"Daun sop, daun bawang, dan bawang goreng","Daging dipotong kecil seperti dadu, tekstur dagingnya lembut",Menggunakan mangkuk,Aroma kuah coto yang khas dengan berbagai rempah pilihan,Rasa kuah coto yang gurih dan khas,Gurih dengan dominan bumbuu rempah tertentu,4,5,3,4,5,Aroma rempah yang kuat,3,4,4,4,4,Halal
,,Daging ,Tidak ada,"Daun bawang, bawang goreng",daging dipotong kecil dengan tekstur yang lembut,Menggunakan mangkuk,Aroma kuah coto yang khas,Rasa kuah coto yang gurih,Pedas dengan dominan bumbu rempah tertentu,2,3,2,2,2,Aroma rempah yang kuat,3,3,4,4,3,Halal
,,Daging  sapai,Tidak ada,Daun bawang dan bawang goreng,"Bentuk daging dipotong kotak, teksturnya kenyal",Menggunakan mangkuk,Aroma khas rempah,"Gurih, manis, asam",Pedas dengan dominan bumbu rempah tertentu,5,4,3,2,2,Aroma rempah yang kuat,5,4,4,4,4,Halal
Solo,Timlo Solo,daging ayam ,-,"sosis,telur,bawang goreng,sambal,jeruk nipis","kuah bening,sosis dipotong kecil.telur coklat dipotong",dengan mangkuk dan piring..antara nasi dan timlo bisa dipisah ,aroma rempah khas timlo,gurih asin,Asin dengan dominan bumbu rempah tertentu,1,3,1,2,1,Aroma rempah yang kuat,3,3,3,3,3,Tidak tahu
,,daging ayam,,"sosis timlo, telur coklat, bawang goreng, sambal kecap, jeruk nipis","kuah bening kaldu ayam, daging ayam sosis telur dipotong kecil (one bite size)",disajikan dengan mangkuk. kemudian nasi disajikan secara terpisah di piring,"aroma rempah, seperti pala lada jinten",asin gurih kaldu daging ayam,Asin dengan rasa garam yang kuat,1,4,1,3,1,Agak berbau khas tertentu,2,3,4,5,4,Halal
,,daging ayam ,-,"sosis,telur,bawang goreng,sambal,jeruk nipis","kuah bening,sosis dipotong kecil.telur",dengan mangkuk dan piring. antara nasi dan timlo bisa dipisah ,aroma rempah khas timlo,gurih asin,Asin dengan dominan bumbu rempah tertentu,0,3,0,4,2,Aroma rempah yang sedang,3,2,2,4,4,Halal
,,daging ayam,,"sosis timlo, telur coklat, bawang goreng, sambal kecap, jeruk nipis","kuah bening kaldu ayam, potongan daging ayam sosis telur",dengan mangkuk. nasi disajikan secara terpisah di piring,aroma rempah,asin gurih kaldu ayam,Asin dengan dominan bumbu rempah tertentu,3,4,3,4,1,Agak berbau khas tertentu,3,3,4,4,3,Halal
,,daging ayam,,"sosis timlo, telur coklat, bawang goreng, sambal kecap, jeruk nipis","kuah bening kaldu ayam, potongan daging ayam sosis telur",dengan mangkuk. Nasi disajikan secara terpisah di piring,aroma rempah timlo,gurih kaldu ayam,Gurih dengan dominan bumbuu rempah tertentu,2,4,1,3,1,Aroma rempah yang sedang,3,3,4,4,3,Halal
Purwokerto,Mendoan,kedelai,tidak ada,sambal,lembut bisa juga garing,daun pisang/kertas minyak,harum dengan aroma tepung,gurih dan pedas jika dengan sambal,Gurih dengan dominan bumbuu rempah tertentu,3,3,2,3,0,Aroma rempah yang sedang,3,3,3,4,4,Halal
,Getuk goreng,singkong,tidak ada,minuman,lembut dengan serat,besek,harum dengan aroma khas singkong dan gula merah,manis,Manis dengan rasa gula yang kuat,0,2,3,0,0,Aroma rempah yang sedang,3,3,3,4,4,Halal
,Mendoan,kedelai,tidak ada,sambal,berbentuk kotak tipis dengan tekstur lembut lembek atau garing kriuk,daun pisang atau kertas minyak,harum aroma adonan tepung ,gurih asin,Asin dengan rasa garam yang kuat,1,4,1,4,1,Aroma rempah yang sedang,3,4,4,3,3,Halal
,Getuk goreng,singkong,tidak ada,minuman,berbentuk bulat dengan tekstur berserat,besek,harum aroma khas manis,manis,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,2,4,1,1,Aroma rempah yang sedang,3,4,3,3,3,Halal
,Mendoan,kedelai,tidak ada,sambal atau cabai rawit hijau,kota pipih lembut lembek,daun pisang atau kertas minnyak,harum adonan tepung,gurih asin,Asin dengan rasa garam yang kuat,3,5,1,5,1,Agak berbau khas tertentu,3,3,4,3,3,Halal
,Getuk goreng,singkong,tidak ada,minuman,bulat lembut berserat,besek,harum khas gula jawa dengan singkong,manis,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,3,5,1,1,Agak berbau khas tertentu,3,3,3,3,3,Halal
,Mendoan,kedelai,tidak ada,sambal kecap,lebar dan tipis,daun pisang,harum rempah,gurih dan asin,Gurih dengan dominan bumbuu rempah tertentu,2,4,1,3,1,Aroma rempah yang sedang,3,3,4,3,3,Halal
,Getuk goreng,singkong,tidak ada,minuman,bulat dan crispy di luar,dengan besek,aroma gula merah,manis,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,1,4,1,1,Agak berbau khas tertentu,3,3,3,2,3,Halal
,Mendoan,kedelai yang di fermentasi menjadi tempe,tidak ada,sambal kecap,lebar dan tipis,daun pisang,wangi rempah,asin dan gurih serta pedas jika menggunakan sambal,Gurih dengan dominan bumbuu rempah tertentu,3,4,2,4,2,Agak berbau khas tertentu,2,3,4,4,3,Halal
,Getuk goreng,singkong,tidak ada,minuman,bentuk bulat,besek,aroma gula merah,rasanya manis,Manis dengan rasa gula yang kuat,3,3,3,2,2,Agak berbau khas tertentu,3,3,4,3,3,Halal
Samarinda,Nasi kuning,"beras, kunyit, santan",pewarna makanan,"daging, telur, ayam, bumbu merah",nasi empuk berwarna kuning,dibungkus daun pisang atau bungkus nasi biasa,aroma bumbu rempah yang kuat,rasa bumbu khas rempah yang kuat,Asin dengan dominan bumbu rempah tertentu,2,4,3,3,1,Aroma rempah yang kuat,3,3,3,3,4,Halal
,Lontong sayur,"sayur santan kacang panjang, kuah santan dan lontong","sayur nangka, sayur lodeh","bumbu merah, daging, ayam, telur","berkuah, ada sayur santannya, dilengkapi dengan daging/ayam/telur bumbu merah","dibungkus dengan plastik, lontong dibungkus dengan daun",aroma santan dan rempah yang kuat,"rasa khas santan, agak pedas, dan agak manis dari bumbu merahnya",Asin dengan dominan bumbu rempah tertentu,3,4,2,3,1,Agak berbau khas tertentu,3,3,3,3,4,Halal
,Nasi kuning,"nasi, santan, rempah",tidak ada,"telur, ikan haruan, ayam, serundeng kelapa, bumbu merah, mie (jika ada), orek tempe (jika ada), bawang merah goreng, dan sambal",tekstur nasi yang sedang (tidak keras/tidak lembek),dikertas nasi (kadang beralaskan daun pisang),aroma daun pandan dan rempah dr nasi kuning,"rasanya gurih, rempah tidak begitu kuat, rasanya ringan",Gurih dengan dominan bumbuu rempah tertentu,3,3,4,3,2,Aroma rempah yang sedang,2,3,3,3,3,Halal
,Lontong sayur,lontong,ketupat,"serundeng kelapa, bawang merah goreng, bumbu merah, telur, ikan haruan, ayam, sayur kacang panjang, labu siam, santan, sambal",lembut,di piring biasa,aroma santan dan rempah ynag ringan,"rasa santan yang gurih, bumbu merah yang sedikit manis",Gurih dengan dominan bumbuu rempah tertentu,3,3,4,3,2,Aroma rempah yang sedang,2,3,3,3,3,Halal
,Nasi kuning,nasi,tidak ada,"bihun, ayam, ikan haruan, telur, bawang goreng","nasi butiran kecil, pulen, lembut, lauk potongan besar dan tekstur yang empuk","dibungkus dengan daun pisang dan kertas nasi biasa, dapat juga disajikan dengan piring biasa",aroma khas santan dan rempah yg sedang,rasa nasi yg asin dan gurih dan bumbu merah yg cenderung manis,Pedas dengan dominan bumbu rempah tertentu,3,3,2,2,1,Aroma rempah yang kuat,3,3,4,4,3,Halal
,Lontong sayur,,,,,,,,Pedas dengan dominan bumbu rempah tertentu,3,3,2,2,1,Aroma rempah yang kuat,3,3,4,4,3,Halal
,Nasi kuning,nasi dan bumbu habang,tidak ada,"mihun, ayam, ikan, telur dan bawang goreng","butiran-butiran kecil, nasi pulen dan agak lembek",dibungkus dengan daun pisang dan kertas nasi,aroma dr bumbu habang yg kuat,rasa rempah dr bumbu habang dan paduan bawang goreng yg pas,Gurih dengan dominan bumbuu rempah tertentu,3,3,3,1,0,Aroma rempah yang sedang,2,4,4,5,5,Halal
,Lontong sayur,,,,,,,,Tidak pernah coba,0,0,0,0,0,0,0,0,0,0,0,Tidak tahu
,Nasi kuning,"beras, kunyit, santan",tidak ada,"daging, ikan, telur, ayam, bumbu merah, bawang goreng dan bihun",nasi pulen berwarna kuning serta lauknya yang teksturnya empuk dengan potongan besar,dibungkus dengan kertas nasi yang dilapisi daun pisang,aroma bumbu rempah yang kuat,manis dan gurih pada rasa bumbu khas rempahnya,Gurih dengan dominan bumbuu rempah tertentu,3,4,3,3,1,Agak berbau khas tertentu,3,4,4,4,5,Halal
,Lontong sayur,,,,,,,,Tidak pernah coba,0,0,0,0,0,0,0,0,0,0,0,Tidak tahu
Pekanbaru,Gulai Asam Pedas Patin,asam dan ikan patin,ikan duri,asam dan santan kelapa,kuah dan tekstur ikan biasa lembut.,menggunakan mangkuk,berbau asam dan berbau ikan patin,"rasa nya lembut , gurih dan mudah untuk d kunyah ",Gurih dengan dominan bumbuu rempah tertentu,3,5,3,3,0,Aroma rempah yang kuat,5,5,4,4,5,Halal
,Ikan Salai,ikan duri atau ikan patin ,ikan duri atau ikan patin . hisa juga ikan lainnya,menggunkan daun singkong dan santan kelapa,berkuah  ikan agak gurih,menggunkan mangkuk maupun piring,berbau asap salai dan beraroma santan,gurih . empuk dan sangat enak,Asin dengan rasa garam yang kuat,3,4,3,4,0,Agak berbau khas tertentu,3,3,5,4,4,Halal
,Gulai Asam Pedas Baung,asam dan ikan baung,ikan sejenis baung,asam ,berkuah dan tektur jga lembut,menggunakan mangkuk maupun piring,berbau asam dan tajam aroma baung,rasanya lembut dan lezat,Gurih dengan dominan bumbuu rempah tertentu,3,5,3,3,5,Aroma rempah yang kuat,5,5,4,4,4,Halal
,Gulai Asam Pedas Patin,"Ikan patin,asam, cabe merah, bamer, baput, lengkuas",Ikan baung,"Bamer baput lengkuas, pare, cabe","Kuah merah kekuningan, ikan empuk, dengan rasa yang segar",Menggunakan mangkuk ataupun piring,Berbau asam dan aroma rempah ,"Rasa ikan lembut, pedas tapi tidak terlalu pedas",Pedas dengan dominan bumbu rempah tertentu,3,3,1,4,4,Agak berbau khas tertentu,4,4,4,5,5,Halal
,Ikan Salai,Ikan salais asli riau,"Ikan baung, ikan patin","Kalau digoreng menggunakan cabe, kalau digulai menggunakan bumbu gulai (cabe,bamer,baput dll",Keras kalau udah digoreng bertekstur renyah,Menggunakan piring bisa dimasak gulai kuah bisa digoreng dengan cabe,Wangi asap,Gurih kriuk,Pedas dengan rasa cabai kuat,4,3,1,4,1,Aroma rempah yang kuat,3,3,4,5,5,Halal
,Gulai Asam Pedas Baung,"Ikan baung al, asam","Ikan patin, ikan sungai lainnya",Pare cabe baner baput,Empuk lembut ,Menggunakan mangkuk atau piring,Wangi berbau asam dan rempah,Rasa ikan lembut gurih pedas dan nikmat,Pedas dengan dominan bumbu rempah tertentu,3,3,1,4,4,Agak berbau khas tertentu,4,4,4,5,5,Halal
,Gulai Asam Pedas Patin,"Cabe merah, ikan patin, lengkuas, baput dan bamer",Ikan baung atau kopiek,"Pare, cabe, lengkuas dan bamer","Kuah merah kekuningan, ikan yg empuk dan rasa yg segar",Menggunakan mangkuk dan piring,Berbau asam dan rempah yg khas,Pedas dan sedikit agak masam dan daging ikan yg lembut,Pedas dengan dominan bumbu rempah tertentu,3,3,2,3,3,Aroma rempah yang kuat,3,3,4,3,3,Tidak tahu
,Ikan Salai,Ikan salai dan santan,Ikan salai baung,"Cabe, asam, dan bamer",Lembut jika sudah masak,Menggunakan mangkuk,Agak sedikit asam dan berbau wangi asap ,Gurih dan manis,Pedas dengan dominan bumbu rempah tertentu,3,3,2,3,2,Aroma rempah yang kuat,3,3,4,3,3,Tidak tahu
,Gulai Asam Pedas Baung,"Ikan baung, asam",Ikan baung dan ikan sungai lainnya,"Cabe, pare, baput dan bamer",Lembut dan gurih,Piring dan mangkuk,Berbau asam dan wangi,"Gurih, asam dan pedas yg pas",Pedas dengan dominan bumbu rempah tertentu,3,3,2,3,4,Aroma rempah yang kuat,3,3,4,3,3,Tidak tahu
,Gulai Asam Pedas Patin,Ikan Patin,Tidak ada,"Kecombrang, santan, kunyit, kemiri, cabe rawit, lengkuas, asam kandis, daun salam, daun jeruk, daun kunyit",Potongan besarm kuah kuning pekat,disajikan dengan nasi hangat,berbau rempah khas melayu,"gurih, pedas, asam",Pedas dengan dominan bumbu rempah tertentu,3,3,3,3,3,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Ikan Salai,Ikan Salai,patin dan ikan gabus,"Bawang merah, bawang putih, cabe merah, jeruk nipis","kriyuk, renyah","Di gulai, di goreng, di pindang",aroma asam dan bumbu gulai khas melayu,"gurih, pedas",Pedas dengan dominan bumbu rempah tertentu,3,3,3,3,3,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Gulai Asam Pedas Baung,Ikan Baung,Tidak ada,"Bawang merah, bawang putih, jahe, kunyit, lengkuas, serai, asam kandis atau asam jawa, belimbing wuluh",Empuk,Tidak ada,"Aroma bumbu khas melayu, jahe, kunyit, serai","Asam, Pedas, Gurih",Pedas dengan dominan bumbu rempah tertentu,3,3,3,3,3,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Gulai Asam Pedas Patin,Ikan Patin,Tidak ada,"daun singkong, kunyit, jahe, seari",,disajikan dengan pucuk ubi rebus,"jahe, kunyit, serai","gurih, pedas",Pedas dengan rasa cabai kuat,3,4,3,3,2,Aroma rempah yang kuat,4,3,3,4,5,Halal
,Ikan Salai,Ikan Salai,"Ikan baung, ikan lele","Bawang merah, bawang putih, cabe merah, jeruk nipis","pipih, renyah ","bisa di goreng dan di sambel, bida digulai",aroma asap dan aroma ikan ,"gurih, pedas",Asin dengan dominan bumbu rempah tertentu,3,4,4,2,3,Agak berbau khas tertentu,3,3,3,3,5,Halal
,Gulai Asam Pedas Baung,Ikan Baung,Tidak ada,"putih, jahe, kunyit, lengkuas, serai, asam kandis atau asam jawa, belimbing wuluh","lembut, padat, halus tanpa duri, warna putih terang",Tidak ada,aroma bumbu khas melayu,"Asam, Pedas, Gurih",Pedas dengan dominan bumbu rempah tertentu,3,4,3,3,2,Aroma rempah yang kuat,4,3,3,4,5,Halal
Banjarbaru,Nasi Sop Banjar,Ayam,Daging Sapi,"Daun bawang, Jeruk nipis",Kuah bening,dengan piring,Bau kaldu ayam,Gurih dengan rempah yang sedang,Gurih dengan dominan bumbuu rempah tertentu,3,3,3,3,0,Aroma rempah yang kuat,3,4,5,5,5,Halal
,Soto Banjar,Ayam,Daging Sapi,"Daun bawang, Jeruk nipis",Kuah bening,dengan piring,Bau kaldu ayam,Gurih dengan rempah yang sedang,Gurih dengan dominan bumbuu rempah tertentu,3,3,3,3,0,Aroma rempah yang kuat,3,4,5,5,5,Halal
,Sate Ayam Banjar,Daging Ayam,Daging Sapi,"Daun bawang, Jeruk nipis",Potongan Daging,dengan piring,Bau saus kacang,Manis dari saus kacang dan asin dari daging ayam,Gurih dengan dominan bumbuu rempah tertentu,3,3,3,3,0,Aroma rempah yang kuat,3,4,5,5,5,Halal
,Nasi Sop Banjar,Daging Ayam,Daging sapi dan daging kambing,"Daun bawang, seledri dan bawang goreng",Kuah bening sedikit pekat dan tekstur empuk ,disajikan dengan piring,Aroma rempah dan kaldu ayam,Rasa gurih dan sedikit asin,Gurih dengan dominan bumbuu rempah tertentu,1,4,5,2,1,Aroma rempah yang kuat,4,5,5,5,5,Halal
,Soto Banjar,Daging Ayam,Daging sapi dan daging kambing,"Daun bawang, seledri dan bawang goreng",Kuah kuning pekat dan tekstur empuk ,disajikan dengan piring,Aroma rempah dan kaldu ayam,Rasa gurih dan sedikit asin,Gurih dengan dominan bumbuu rempah tertentu,1,4,5,2,1,Aroma rempah yang kuat,4,5,5,5,5,Halal
,Sate Ayam Banjar,Daging Ayam,Daging sapi dan daging kambing,"Daun bawang, seledri dan bawang goreng",Kuah kacang dengan tingkat kekentalan yang sedang dan tekstur ayam empuk,disajikan dengan piring,Aroma bumbu kacang,Rasa gurih dan sedikit asin kombinasi pedas,Tidak pernah coba,0,0,0,0,0,0,0,0,0,0,0,Halal
,Nasi Sop Banjar,Daging Ayam,Daging sapi dan daging kambing,"Daun bawang, daun seledri, bawang goreng dan jeruk nipis",Kuah bening pekat dan tekstur empuk,piring,Aroma kaldu ayam,Gurih dengan rasa rempah,Asin dengan dominan bumbu rempah tertentu,2,3,1,2,1,Aroma rempah yang kuat,3,4,3,3,3,Halal
,Soto Banjar,Daging Ayam,Daging sapi dan daging kambing,"Daun bawang, daun seledri, bawang goreng dan jeruk nipis",Kuah bening pekat dan tekstur empuk,piring,Aroma kaldu ayam,Gurih dengan rasa rempah,Asin dengan dominan bumbu rempah tertentu,1,3,1,2,1,Aroma rempah yang kuat,3,4,3,3,3,Halal
,Sate Ayam Banjar,-,-,-,-,-,-,-,Asin dengan dominan bumbu rempah tertentu,2,1,1,2,1,Aroma rempah yang kuat,2,4,3,3,3,Halal
,Nasi Sop Banjar,Daging Ayam,Daging Sapi atau Daging Kambing,"Daun Bawang,Bawang Goreng, Seledri dan Jeruk Nipis",Kuah Pekat Dengan Aroma Rempah yang Khas,Piring,Aroma kaldu ayam,Gurih dengan rasa rempah,Gurih dengan dominan bumbuu rempah tertentu,0,4,3,3,0,Aroma rempah yang sedang,3,3,4,5,5,Tidak tahu
,Soto Banjar,Daging Ayam,Daging Sapi atau Daging Kambing,"Daun Bawang,Bawang Goreng, Seledri dan Jeruk Nipis",Kuah Pekat Dengan Aroma Rempah yang Khas,Piring,Aroma kaldu ayam,Gurih dengan rasa rempah,Gurih dengan dominan bumbuu rempah tertentu,0,4,2,3,0,Aroma rempah yang sedang,3,3,4,5,5,Tidak tahu
,Sate Ayam Banjar,Daging Ayam,Daging Sapi atau Daging Kambing,Bawang Goreng,Empuk,Piring,Aroma Smoky,Manis dan Gurih,Asin dengan rasa garam yang kuat,0,4,2,4,0,Aroma rempah yang sedang,3,3,4,4,5,Tidak tahu
,Nasi Sop Banjar,Daging Ayam,Daging Sapi atau Daging Kambing,"Daun Bawang,Bawang Goreng, Seledri dan Jeruk Nipis",Kuah bening pekat dan Aroma Rempah yang Khas,Piring,Aroma kaldu ayam,Gurih dengan rasa rempah,Gurih dengan dominan bumbuu rempah tertentu,4,4,3,3,2,Aroma rempah yang kuat,3,4,4,4,4,Halal
,Soto Banjar,Daging Ayam,Daging Sapi atau Daging Kambing,"Daun Bawang, Seledri dan Jeruk Nipis",Kuah bening pekat dan Aroma Rempah yang Khas,Piring,Aroma kaldu ayam,Gurih dengan rasa rempah,Gurih dengan dominan bumbuu rempah tertentu,4,4,3,3,2,Aroma rempah yang kuat,3,4,4,4,4,Halal
,Sate Ayam Banjar,Daging Ayam,Daging Sapi atau Daging Kambing,Bawang Goreng,Empuk,Piring,Aroma bumbu kacang,Manis dan Gurih,Manis dengan rasa gula yang kuat,4,2,4,3,2,Aroma rempah yang sedang,3,3,4,4,4,Halal
Payakumbuh,Pongek cubadak,cubadak/nangka,-,-,empuk,tidak ada,aroma santan dan bumbu rempah,seperti gulai kalio dengan rasa yg lebih tajam,Pedas dengan dominan bumbu rempah tertentu,0,0,1,0,1,Aroma rempah yang sedang,2,3,5,4,3,Halal
,Telur dadar,telur ayam,telur bebek,-,empuk dan renyah,tidak ada,aroma gurih,gurih,Gurih dengan dominan bumbuu rempah tertentu,1,2,1,1,1,Aroma rempah yang sedang,4,3,5,4,4,Halal
,Dendeng,daging sapi,daging kerbau,-,empuk dan renyah,tidak ada,aroma gurih dan rempah,rasa daging yg tidak amis,Pedas dengan rasa cabai kuat,2,2,1,1,1,Aroma rempah yang sedang,4,3,5,4,3,Halal
,Ayam pop,ayam,-,-,empuk,tidak ada,aroma rempah,seperti ayam pop biasanya,Gurih dengan dominan bumbuu rempah tertentu,2,2,1,1,1,Aroma rempah yang sedang,4,3,5,4,3,Halal
,Palai bada,ikan bada,-,kelapa parut,empuk,dibungkus dalam daun pisang,aroma rempah dan cabe,ikan dengan rempah kuat,Pedas dengan rasa cabai kuat,2,2,1,1,1,Aroma rempah yang sedang,4,3,5,4,3,Halal
,Ayam bumbu,ayam,-,kelapa sangrai,empuk,tidak ada,aroma gurih,rasa ayam goreng berbumbu kelapa,Gurih dengan dominan bumbuu rempah tertentu,1,2,1,1,1,Aroma rempah yang sedang,4,3,5,4,3,Halal
,Sambal lado jariang,jengkol,-,-,empuk,tidak ada,aroma cabe atau terasi,pedas,Pedas dengan dominan bumbu rempah tertentu,3,2,1,1,1,Aroma rempah yang sedang,3,3,5,4,3,Halal
